"","Have.you.ever.been.diagnosed.with.colour.blindness.","How.many.years..including.this.year..have.you.studied.in.an.English.language.school.university.","Do.you.play.video.games.regularly.","What.device.did.you.use.to.do.the.Stroop.test.","What.kind.of.headphones.did.you.use.","Put.these.levels.of.auditory.distraction.in.the.order.that.you.did.them.","What.was.your.first.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.","OffTime","OnTime","Total...of.runs.Stroop.Off","Total...of.runs.Stroop.On","OnTime.minus.OffTime","What.was.your.second.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.2","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.2","OffTime2","OnTime2","Total...of.runs.Stroop.Off2","Total...of.runs.Stroop.On2","OnTime.minus.OffTime2","What.was.your.third.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.3","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.3","OffTime3","OnTime3","Total...of.runs.Stroop.Off3","Total...of.runs.Stroop.On3","OnTime.minus.OffTime3","ID"
"35","No","8","Yes","Android phone","In-ear headphones; noise cancelling","","Quiet","8","5-6pm","63.775","86.652",6,8,"22.877","Ed Sheeran - Shape of You","8","5-6pm","58.253","76.497",5,5,"18.244","Mozart - Piano Sonata No. 8 in A","8","6pm","55.039","72.708",7,5,"17.669",35
"36","No","16","No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","quiet","8","evening 8pm","66.446","72.914",6,6,"6.467","Mozart-Classic","8","Evening","58.412","74.849",8,7,"16.436","shape of you","8","Evening","61.265","64.047",7,6,"2.782",36
"37","No","4","No","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Quiet","7","3pm","61.042","62.320",7,5,"1.278","Music with lyrics","7","3:10pm","60.624","66.755",5,7,"6.131","Classical instrumental music","7","3:20pm","67.178","65.705",5,6,"-1.473",37
"38","No","7","Yes","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","quite","10hrs","5:08pm","43.112s","49.378s",6,8,"6.267s","classical instruments","10hrs","5:16pm","42.012s","43.625s",7,7,"1.613s","lyric music","10hrs","5:21pm","43.133s","43.771s",5,7,"0.637s",38
"39","No","3","No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","quiet","7","8.20pm","53.160s","66.096s",5,5,"12.936s","shape of you","7","8.26pm","51.967s","67.324s",5,6,"15.356s","classical","7","8.36pm","48.698s","56.265s",5,5,"7.568s",39
"40","No","6","No","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","Ed Sheeran","8.5","8:16pm","62.703s","63.815s",5,6,"1.111s","Silent","8.5","8:21pm","59.879s","66.752s",5,5,"6.873s","Classical music","8.5 hours","8:26pm","61.350s","63.202s",5,5,"1.852s",40
"41","No","7","No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","quiet (control)","8 hours","11:08 am","57.096s","73.209s",5,6,"16.113s","Music with lyrics ","8 hours","11:15am","72.522s","76.608s",6,5,"4.086s","Classical instrumental music","8 hours","11:45","63.520s","71.390s",5,5,"7.870s",41
"42","No","4","Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Control","12 hours","7:45 p.m.","59.135","73.403",5,5,"14.268","DIstraction with lyrics","12 hours","7:54 p.m.","57.638","65.235",5,5,"7.592","Distraction without lyrics","12 hours","8:00 p.m.","57.710","69.637",5,5,"11.927",42
"43","No","7","No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Quiet","8","21:15","62.085s","76.320s",5,5,"14.235s","Music with lyrics (Ed Sheeran, Shape of You)","8","21:22","62.450s","65.634s",5,5,"3.184s","Classical instrumental music (Mozart Piano Sonata No.8 in A minor)","8","21:31","56.900s","64.779s",5,5,"7.878s",43
"44","No","7","Yes","iPhone / iPod","In-ear headphones; noise cancelling","","quiet","6","4pm","46.323","51.817",6,6,"5.494","shape of you ","6","4pm","43.001","47.800",7,5,"4.800","classic","6","4:05pm","42.406","51.447",5,5,"9.041",44
"45","No","3 years","No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","quiet","7 hours","10:45 p.m.","47.726s","50.895s",6,6,"3.17s","Music with lyrics (Ed Sheeran, Shape of You)","7 hours","10:51 p.m.","47.448s","53.969s",5,6,"6.521s","Classical instrumental music (Mozart Piano Sonata No. 8 in A minor)","7 hours","10:56 p.m.","45.983s","48.044s",6,6,"2.061s",45
"46","No","7 years","No","iPhone / iPod","In-ear headphones; not noise cancelling","","Quiet","8 hours","8:53pm","50.503s","60.853s",8,5,"10.350s","Music with lyrics","8 hours","9:04pm","49.129s","61.407s",6,5,"12.277s","Classical Instrumental Music","8 hours","9:11pm","50.121s","54.166s",5,8,"4.045s",46
"47","No","14","Yes","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control","9","7:10AM","60.596s","56.876s",6,7,"-3.720s","music with lyrics","9","7:15 AM","55.827s","63.426s",5,9,"7.599s","classic","9","7:20","50.972s","59.825s",6,5,"8.853s",47
